timestamp,x,y,z,vx,vy,vz,ax,ay,az,q[0],q[1],q[2],q[3],xyz[0],xyz[1],xyz[2]
2396000,-0.20855057041797,0.11085761244834,0.30246008950011,-0.01214170734094,0.07033444005445,0.15857599191152,0.00019147033322,-0.00024311866173,0.00082779948390,0.70719845744007,-0.00000960035540,-0.00000928082409,-0.70700516099551,-0.00000064892414,0.00000427424578,0.00000015854958
3396000,-0.22756916883236,0.10004463348488,0.33129874904980,-0.00618990997765,0.00460237561007,-0.05068068508677,0.00866998289132,-0.02208816512014,0.00063633239246,0.70583712446532,0.00020253077869,-0.00050281280227,-0.70837396908626,0.00003508673804,-0.00002714296418,0.00000391781667
4396000,-0.28789630213753,0.12702308267492,0.32761658771976,0.05688136200856,-0.04725101319636,-0.02034581783753,0.03571745497180,-0.01984463238664,0.00416708369506,0.70576720264014,-0.00033004317781,-0.00113509821522,-0.70844285304536,-0.00005698686987,-0.00008796534232,0.00000208336053
5396000,-0.27059499182337,0.13420558326394,0.27599473263471,0.04253895562914,-0.01147822704488,-0.00087372673840,0.01344487596410,0.00002753232624,0.00127549681093,0.70574236744228,-0.00030815163250,-0.00022389691475,-0.70846848823075,-0.00016982347633,0.00004723657053,0.00000142148990
6396000,-0.28753156048155,0.10635467358558,0.28992784758828,0.02316995341238,-0.01991298549044,0.01684198504766,0.00801243585392,-0.00408517889262,0.00726196105197,0.70571950783742,-0.00008008795427,-0.00022766971180,-0.70849129299892,-0.00012710045215,0.00003987011110,0.00000118501467
7396000,-0.30446812913973,0.07850376390722,0.30386096254184,0.00380095119562,-0.02834774393601,0.03455769683372,0.00257999574374,-0.00819789011148,0.01324842529301,0.70569664823256,0.00014797572396,-0.00023144250885,-0.70851409776709,-0.00008437742798,0.00003250365167,0.00000094853944
8396000,-0.32325151845387,0.06242550208723,0.20348129528800,-0.01482499821840,-0.02357124293116,0.08504549167290,-0.00724902389599,-0.00554223063005,0.02126026889948,0.70564792438650,0.00039231043596,0.00014879282283,-0.70856256548709,-0.00005121698776,0.00008747132691,0.00000075282941
9396000,-0.31099361720503,0.03386132212349,0.22302316096015,-0.02270763907973,-0.02165315952131,0.06978421044165,-0.00927147654360,-0.00729533551161,0.01516397122486,0.70561131358365,0.00059775817735,0.00012257090773,-0.70859885131304,0.00000988736916,0.00013435260094,0.00000055301627
10396000,-0.29873571595619,0.00529714215975,0.24256502663231,-0.03059027994106,-0.01973507611146,0.05452292921040,-0.01129392919122,-0.00904844039317,0.00906767355024,0.70557470278080,0.00080320591875,0.00009634899263,-0.70863513713899,0.00007099172608,0.00018123387496,0.00000035320313
11396000,-0.28089890846893,0.05952044906064,0.29155439409941,0.00177979357743,-0.01132892994930,0.03437337761251,0.00049262382573,-0.00611498276019,0.00626389283046,0.70559441149900,0.00017495710075,-0.00032288005016,-0.70861547653094,0.00003920689371,0.00000784784587,0.00000042783945
